,2021-01-05,2021-01-06,2021-01-07,2021-01-08
Open,155.0,142.0,141.0500030517578,138.0
High,155.25,149.22999572753906,142.75999450683594,140.97000122070312
Low,141.2100067138672,138.3000030517578,136.3249969482422,135.1999969482422
Close,144.0800018310547,148.72000122070312,137.99000549316406,138.57000732421875
Volume,3129600.0,1903800.0,3410700.0,3225300.0
